Date,Lift,Sets,Reps,Weight (LBS)
2017/11/17,back-squats (narrow),4,6,185
2017/11/17,push-ups,4,16,167
2017/11/20,deadlifts (rdl),5,5,225
2017/11/20,zercher (full),5,1,225
2017/11/27,deadlifts,1,5,135
2017/11/27,deadlifts,1,5,225
2017/11/27,deadlifts,1,5,275
2017/11/27,deadlifts,3,5,295
2017/11/27,push-ups,2,10,167
2017/11/27,push-ups,3,20,167
2017/11/29,back-squats,1,5,135
2017/11/29,back-squats,1,5,185
2017/11/29,back-squats,1,3,225
2017/11/29,back-squats,3,1,255
2017/11/29,back-squats,1,1,265
2017/12/05,deadlifts,1,5,135
2017/12/05,deadlifts,1,8,225
2017/12/05,deadlifts,5,5,255
2017/12/05,curls,4,16,25
2017/12/05,shrugs,3,12,205
2017/12/06,back-squats,1,8,135
2017/12/06,back-squats,4,6,205
2017/12/11,curls,2,16,25
2017/12/11,curls,2,12,35
2017/12/11,ohp,3,2,115
2017/12/11,push-ups,5,10,170
2017/12/12,deadlifts,1,2,225
2017/12/12,deadlifts,1,1,295
2017/12/12,deadlifts,1,1,345
2017/12/12,shrugs,4,12,115
2017/12/12,front-squats,5,5,135
2017/12/17,deadlifts,1,1,365
2017/12/17,bench,5,5,155
2017/12/17,bench,1,1,185
2017/12/19,front-squats,3,5,185
2017/12/19,curls,3,16,35
2017/12/22,deadlifts,1,6,135
2017/12/22,deadlifts,1,5,225
2017/12/22,deadlifts,5,5,295
2017/12/22,curls,3,16,35
2017/12/23,back-squats,1,8,135
2017/12/23,back-squats,1,6,185
2017/12/23,back-squats,1,8,205
2017/12/23,back-squats,2,8,225
2017/12/23,back-squats,1,2,205
2017/12/28,deadlifts,1,6,155
2017/12/28,deadlifts,2,10,225
2018/01/05,deadlifts,5,3,315
2018/01/05,curls,4,16,35
2018/01/11,back-squats,1,5,225
2018/01/11,back-squats,3,3,245
2018/01/13,deadlifts,1,1,385
2018/01/13,curls,4,12,45
2018/01/15,back-squats,3,8,205
2018/01/15,ohp,3,8,95
2018/01/21,back-squats,1,5,225
2018/01/21,back-squats,5,5,225
2018/01/21,ohp,3,5,95
2018/01/21,ohp,2,5,115
2018/01/24,curls,3,12,45
2018/01/24,deadlifts (rdl),4,10,225
2018/01/29,back-squats,3,3,225
2018/01/29,back-squats,1,1,245
2018/01/29,back-squats,1,1,255
2018/01/29,back-squats,1,1,275
2018/01/29,curls,4,12,45
2018/02/08,back-squats,1,5,135
2018/02/08,back-squats,1,5,205
2018/02/08,back-squats,1,1,255
2018/02/08,back-squats,1,1,295
2018/02/09,back-squats,5,5,225
2018/02/11,ohp,4,5,95
2018/02/11,ohp,1,8,95
2018/02/11,ohp,3,1,115
2018/02/17,bench,1,5,115
2018/02/17,bench,1,8,135
2018/02/17,bench,4,4,155
2018/02/24,back-squats,1,1,275
2018/02/26,bench,4,6,135
2018/02/26,back-squats,1,3,135
2018/02/26,back-squats,1,5,225
2018/02/26,back-squats,3,3,255
2018/02/28,deadlifts,1,1,405
2018/03/02,back-squats,1,8,155
2018/03/02,back-squats,2,14,170
2018/03/04,back-squats,1,5,135
2018/03/04,back-squats,1,5,225
2018/03/04,back-squats,3,5,255
2018/03/04,back-squats,1,1,255
2018/03/04,back-squats,1,4,225
2018/03/04,back-squats,1,5,225
2018/03/04,cleans,3,2,135
2018/03/10,deadlifts,1,5,135
2018/03/10,deadlifts,1,3,225
2018/03/10,deadlifts,1,3,315
2018/03/10,deadlifts,2,1,405
2018/03/12,ohp,5,5,105
2018/03/13,back-squats,1,5,155
2018/03/13,back-squats,5,5,205
2018/03/17,back-squats,3,3,275
2018/03/17,front-squats,2,1,225
2018/03/17,deadlifts,1,2,365
2018/04/05,back-squats,1,6,155
2018/04/05,back-squats,4,5,224
2018/04/05,back-squats,1,5,245
2018/04/10,deadlifts,5,5,275
2018/04/25,deadlifts,5,5,315
2018/04/25,bench,1,5,135
2018/04/25,bench,3,8,135
2018/04/27,squats,5,5,225
2018/05/1,deadlifts,1,5,135
2018/05/1,deadlifts,1,5,225
2018/05/1,deadlifts,1,5,315
2018/05/1,deadlifts,1,1,365
2018/05/1,deadlifts,1,1,405
2018/05/1,deadlifts,3,2,365
2018/05/1,ohp,4,5,115
2018/05/1,ohp,1,5,95
2018/05/13,deadlifts,1,8,135
2018/05/13,deadlifts,1,5,225
2018/05/13,deadlifts,1,5,315
2018/05/13,deadlifts,5,3,345
2018/05/14,squats,1,6,135
2018/05/14,squats,5,3,225
2018/05/14,squats,3,1,275
2018/05/21,squats,1,8,135
2018/05/21,squats,1,5,205
2018/05/21,squats,5,3,255
2018/05/21,bench,3,8,115
2018/05/24,squats,1,8,135
2018/05/24,squats,1,5,205
2018/05/24,squats,1,3,255
2018/05/24,squats,1,1,275
2018/05/24,ohp,5,5,95
2018/05/29,squats,1,8,135
2018/05/29,squats,1,8,185
2018/05/29,squats,5,5,235
2018/05/29,bench,1,8,95
2018/05/29,bench,3,8,135
2018/06/10,squats,1,8,135
2018/06/10,bench,1,8,135
2018/06/10,calf-raises,3,30,100
2018/06/11,squats,1,8,135
2018/06/11,squats,1,4,225
2018/06/11,squats,1,1,275
2018/06/11,squats,1,1,295
2018/06/11,squats,1,1,275
2018/06/11,curls,3,16,30
2018/06/11,ohp,5,3,125
2018/06/18,deadlifts,1,5,135
2018/06/18,deadlifts,1,5,225
2018/06/18,deadlifts,1,5,315
2018/06/18,deadlifts,3,1,405
